"","participant","expName","Stim","Arousal_rate.response","Valence_rate.response","Familiarity_rate.response","Pleasantness_rate.response"
"177",71,"V4","Unt Donner Unt Blitz (Spot).wav",5.9873046875,6.8369140625,1.20703125,4.8837890625
"178",72,"V5","L’Incendie (Spot).wav",5.9970703125,1.4267578125,2.8232421875,6.7294921875
"179",72,"V5","Chaconne in G (Spot).wav",5.6259765625,1.49023437499999,3.482421875,6.16796875
"180",72,"V5","String Quartet No. 8 (Spot).wav",6.373046875,2.203125,1.94921875,6.3828125
"181",73,"V6","Healing Water Full.wav",4.361328125,5.7333984375,2.9697265625,5.962890625
"182",73,"V6","Aircraft Cabin Full.wav",2.8427734375,2.9794921875,5.30859375,1.9052734375
"183",73,"V6","Fireplace Full.wav",4.341796875,4.029296875,5.71875,4.810546875
"184",75,"V2","Piano Sonata No. 11 (Spot).wav",3.9951171875,5.953125,3.9951171875,7
"185",75,"V2","Tritsch-Tratsch (Spot).wav",5.9140625,2.9990234375,2.095703125,5.0302734375
"186",75,"V2","Radetzky March (Spot).wav",4.0146484375,3.9951171875,2.095703125,2.134765625
"187",76,"V3","Night on Bare Mountain (Spot).wav",4.9912109375,3.98046875,4.9326171875,4.9912109375
"188",76,"V3","Moonlight Sonata (Spot).wav",5.005859375,2.994140625,4.8837890625,5.9775390625
"189",76,"V3","Four Seasons Summer (Spot).wav",5.943359375,4.0732421875,4.9619140625,4.908203125
"190",77,"V4","Gypsy Baron (Spot).wav",7,4.986328125,7,7
"191",77,"V4","The Barber of Seville - Figaro’s Aria (Instrumental) Take 3.wav",7,5.923828125,5.0498046875,4.126953125
"192",77,"V4","Unt Donner Unt Blitz (Spot).wav",5.923828125,7,2.935546875,4.99609375
"193",78,"V5","String Quartet No. 8 (Spot).wav",5.0107421875,5.03515625,3.033203125,2.5400390625
"194",78,"V5","Chaconne in G (Spot).wav",3.47265625,2.4423828125,4.41015625,5.6064453125
"195",78,"V5","L’Incendie (Spot).wav",5.416015625,5.9970703125,5.484375,5.3916015625
"196",79,"V6","Healing Water Full.wav",5.4111328125,4.986328125,4.72265625,6.431640625
"197",79,"V6","Fireplace Full.wav",1.9931640625,3.9853515625,1.998046875,5.0009765625
"198",79,"V6","Aircraft Cabin Full.wav",3.00390625,2.9990234375,4.52734375,3.5263671875
"199",81,"V2","Tritsch-Tratsch (Spot).wav",5.259765625,2.984375,4.6884765625,4.8984375
"200",81,"V2","Radetzky March (Spot).wav",5.7822265625,5.8603515625,6.1435546875,5.8603515625
"201",81,"V2","Piano Sonata No. 11 (Spot).wav",6.0361328125,6.7880859375,6.4365234375,5.083984375
"202",82,"V3","Four Seasons Summer (Spot).wav",5.9970703125,1,6.5048828125,7
"203",82,"V3","Moonlight Sonata (Spot).wav",3.013671875,1,7,3.0087890625
"204",82,"V3","Night on Bare Mountain (Spot).wav",2.3935546875,2.30078125,5.4697265625,3.70703125
"205",83,"V4","The Barber of Seville - Figaro’s Aria (Instrumental) Take 3.wav",5.5673828125,5.5478515625,5.9775390625,3.98046875
"206",83,"V4","Unt Donner Unt Blitz (Spot).wav",4.9912109375,4.986328125,5.4697265625,4.009765625
"207",83,"V4","Gypsy Baron (Spot).wav",4.9814453125,5.5576171875,1.998046875,5.5185546875
"208",84,"V5","Chaconne in G (Spot).wav",2.02734375,3.0869140625,1.98828124999999,3.9609375
"209",84,"V5","String Quartet No. 8 (Spot).wav",4.9912109375,4.966796875,1.97363281249999,3.9853515625
"210",84,"V5","L’Incendie (Spot).wav",5.005859375,3.9853515625,1.98828124999999,4.0048828125
"211",85,"V6","Healing Water Full.wav",3.013671875,4.99609375,3.9951171875,7
